Red,Green,Blue,Name
32,0,160,darkblue
32,0,176,mediumblue
32,0,192,mediumblue
32,0,208,mediumblue
32,0,224,mediumblue
32,0,240,blue
32,16,0,black
32,16,16,black
32,16,32,black
32,16,48,black
32,16,64,midnightblue
32,16,80,midnightblue
32,16,96,midnightblue
32,16,112,midnightblue
32,16,128,midnightblue
32,16,144,midnightblue
32,16,160,darkblue
32,16,176,mediumblue
32,16,192,mediumblue
32,16,208,mediumblue
32,16,224,mediumblue
32,16,240,blue
32,32,0,black
32,32,16,black
32,32,32,black
32,32,48,darkslategray
32,32,64,midnightblue
32,32,80,midnightblue
32,32,96,midnightblue
32,32,112,midnightblue
32,32,128,midnightblue
32,32,144,midnightblue
32,32,160,midnightblue
32,32,176,mediumblue
32,32,192,mediumblue
32,32,208,mediumblue
32,32,224,mediumblue
32,32,240,blue
32,48,0,black
32,48,16,black
32,48,32,darkslategray
32,48,48,darkslategray
32,48,64,darkslategray
32,48,80,darkslategray
32,48,96,midnightblue
32,48,112,midnightblue
32,48,128,midnightblue
32,48,144,midnightblue
32,48,160,darkslateblue
32,48,176,darkslateblue
32,48,192,mediumblue
32,48,208,mediumblue
32,48,224,mediumblue
32,48,240,blue
32,64,0,darkgreen
32,64,16,darkgreen
32,64,32,darkslategray
32,64,48,darkslategray
32,64,64,darkslategray
32,64,80,darkslategray
32,64,96,darkslategray
32,64,112,darkslategray
32,64,128,darkslateblue
32,64,144,darkslateblue
32,64,160,darkslateblue
32,64,176,darkslateblue
32,64,192,royalblue
32,64,208,royalblue
32,64,224,royalblue
32,64,240,royalblue
32,80,0,darkgreen
32,80,16,darkgreen
32,80,32,darkslategray
32,80,48,darkslategray
32,80,64,darkslategray
32,80,80,darkslategray
32,80,96,darkslategray
32,80,112,darkslategray
32,80,128,darkslateblue
32,80,144,darkslateblue
32,80,160,darkslateblue
32,80,176,darkslateblue
32,80,192,royalblue
32,80,208,royalblue
32,80,224,royalblue
32,80,240,royalblue
32,96,0,darkgreen
32,96,16,darkgreen
32,96,32,forestgreen
32,96,48,darkslategray
32,96,64,darkslategray
32,96,80,darkslategray
32,96,96,darkslategray
32,96,112,darkslategray
32,96,128,teal
32,96,144,teal
32,96,160,steelblue
32,96,176,steelblue
32,96,192,royalblue
32,96,208,royalblue
32,96,224,royalblue
32,96,240,royalblue
32,112,0,darkgreen
32,112,16,forestgreen
32,112,32,forestgreen
32,112,48,forestgreen
32,112,64,seagreen
32,112,80,seagreen
32,112,96,seagreen
32,112,112,teal
32,112,128,teal
32,112,144,teal
32,112,160,steelblue
32,112,176,steelblue
32,112,192,steelblue
32,112,208,royalblue
